Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,MOQ,MOQ,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 1) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
,,,,,,,,,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,,,,,,,,,,
2,C0603C470J5GACTU,KEMET,C0603C470J5GACTU,https://octopart.com/c0603c470j5gactu-kemet-96565,"C5,C2",47pF,0603,2,399-1056-1-ND,C0603C470J5GACTU,Cut Tape,,0.134505,0.134505,470434,116632,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0e3ff3a&sid=459&ppid=96565&vpid=1141107&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0e4fc1f&sid=2401&ppid=96565&vpid=37816425&ct=offers,Quest,C0603C470J5GACTU,,0.0403515,0.080703,0.080703,106700,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0216538&sid=2412&ppid=96565&vpid=33391776&ct=offers,
4,PFR5331J100J11L4BULK,KEMET,PFR5331J100J11L4BULK,https://octopart.com/pfr5331j100j11l4bulk-kemet-20374205,"C6,C7,C18,C25",330p FILM,5 MM BOX CAP,4,399-7719-ND,PFR5331J100J11L4BULK,Bulk,,0.7666784999999999,0.7666784999999999,629,790,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0bab774&sid=459&ppid=20374205&vpid=51377193&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0ac1b17&sid=2401&ppid=20374205&vpid=39411397&ct=offers,Digi-Key,399-7719-ND,Bulk,0.7666784999999999,3.0667139999999997,3.0667139999999997,629,1,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0bab774&sid=459&ppid=20374205&vpid=51377193&ct=offers,
2,CC0603CRNPO9BN4R7,Yageo,CC0603CRNPO9BN4R7,https://octopart.com/cc0603crnpo9bn4r7-yageo-41162001,"C8,C3",4.7pF,0603,2,311-1740-1-ND,CC0603CRNPO9BN4R7,Cut Tape,,0.134505,0.134505,53904,2742,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0b5dae9&sid=459&ppid=41162001&vpid=193846307&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0ff5853&sid=2401&ppid=41162001&vpid=194122922&ct=offers,Future Electronics,4871679,Cut Tape,0.0043041600000000005,0.008608320000000001,0.008608320000000001,0,1,https://octopart.com/click/track?c=1&country=CA&ak=68b25f31&sig=0d55820&sid=2454&ppid=41162001&vpid=416979249&ct=offers,
2,C0603C330J5GACTU,KEMET,C0603C330J5GACTU,https://octopart.com/c0603c330j5gactu-kemet-87666,"C9,C4",33pF,0603,2,399-1055-1-ND,C0603C330J5GACTU,Cut Tape,,0.134505,0.134505,159937,66424,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=03ed878&sid=459&ppid=87666&vpid=1868169&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=06a1a86&sid=2401&ppid=87666&vpid=37720064&ct=offers,Quest,C0603C330J5GACTU,,0.04438665000000001,0.08877330000000001,0.08877330000000001,87384,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=056996d&sid=2412&ppid=87666&vpid=33391755&ct=offers,
1,UUQ1E100MCL1GB,Nichicon,UUQ1E100MCL1GB,https://octopart.com/uuq1e100mcl1gb-nichicon-19038212,C10,10μF,5mm x 5.3mm,1,493-3202-1-ND,UUQ1E100MCL1GB,Cut Tape,,0.6590745,0.6052725000000001,436,1420,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0df76cd&sid=459&ppid=19038212&vpid=34049931&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0c17f66&sid=2401&ppid=19038212&vpid=67447368&ct=offers,Arrow,UUQ1E100MCL1GB**MULT1,Cut Tape,0.44184892500000006,0.44184892500000006,0.44184892500000006,190,1,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=07f8aac&sid=1106&ppid=19038212&vpid=409858343&ct=offers,
4,C0603C100J5GACTU,KEMET,C0603C100J5GACTU,https://octopart.com/c0603c100j5gactu-kemet-138281,"C11,C1,C28,C29",22pF,0603,4,399-1049-1-ND,C0603C100J5GACTU,Cut Tape,,0.134505,0.134505,684636,136314,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0221e5b&sid=459&ppid=138281&vpid=2013189&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=08a3d76&sid=2401&ppid=138281&vpid=37779263&ct=offers,Quest,C0603C100J5GACTU,,0.04438665000000001,0.17754660000000003,0.17754660000000003,90266,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0114b54&sid=2412&ppid=138281&vpid=33391546&ct=offers,
2,GRM188R61E105KA12D,Murata,GRM188R61E105KA12D,https://octopart.com/grm188r61e105ka12d-murata-197449,"C22,C21",1μ,0603,2,490-3897-1-ND,GRM188R61E105KA12D,Cut Tape,,0.134505,0.14795550000000002,2332690,474291,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0dbf803&sid=459&ppid=197449&vpid=1620758&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0e1c23d&sid=2401&ppid=197449&vpid=37745926&ct=offers,Arrow,GRM188R61E105KA12D**MULT,,0.058375170000000004,0.11675034000000001,0.11675034000000001,104,1,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=031026b&sid=1106&ppid=197449&vpid=22543450&ct=offers,
2,EEE-1EA100SR,Panasonic,EEE1EA100SR,https://octopart.com/eee1ea100sr-panasonic-55403445,"C23,C24",10μF,5mm x 5.8mm,2,PCE3894CT-ND,EEE1EA100SR,Cut Tape,,0.44386650000000005,0.48421800000000004,119898,4880,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=015bf28&sid=459&ppid=55403445&vpid=116453054&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=07c3015&sid=2401&ppid=55403445&vpid=116793495&ct=offers,Allied Electronics,70257957,Bulk,0.10087875,0.2017575,0.2017575,1445,1,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0832bb4&sid=14&ppid=55403445&vpid=135557658&ct=offers,
10,C0603C104M5RACTU,KEMET,C0603C104M5RACTU,https://octopart.com/c0603c104m5ractu-kemet-11855687,"C27,C20,C19,C17,C16,C15,C14,C13,C12,C26",100n,0603,10,399-7845-1-ND,C0603C104M5RACTU,Cut Tape,,0.039006450000000005,0.021520800000000003,2577395,477739,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0bde3df&sid=459&ppid=11855687&vpid=51926349&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=058d01f&sid=2401&ppid=11855687&vpid=44736929&ct=offers,Mouser,C0603C104M5RACTU,,0.021520800000000003,0.21520800000000004,0.21520800000000004,477739,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=058d01f&sid=2401&ppid=11855687&vpid=44736929&ct=offers,
4,WP424SRDT,Kingbright,WP424SRDT,https://octopart.com/wp424srdt-kingbright-5355810,"D1,D2,D3,D4",LED,3 MM LED,4,754-1717-ND,WP424SRDT,Bulk,,0.6590745,0.34971300000000005,9014,1900,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0c342d3&sid=459&ppid=5355810&vpid=81528978&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0fd2fd7&sid=2401&ppid=5355810&vpid=37784634&ct=offers,Mouser,WP424SRDT,,0.34971300000000005,1.3988520000000002,1.3988520000000002,1900,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0fd2fd7&sid=2401&ppid=5355810&vpid=37784634&ct=offers,
